what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305610359029
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305610364040
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305610425721
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1305610436996
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1305610444716
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305610445659
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1305610447561
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305610448651
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305610473215
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305610845733
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1305610879644
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1305610880299
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1305610887798
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1305610890062
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1305610896725
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1305610897568
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305610917049
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305610918511
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305610920181
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305610984680
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305610999357
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305610999453
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1305611020844
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305611068421
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305611280167
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305611281126
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305611396505
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1305611407662
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305611434445
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305611434531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1305611444861
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1305611477754
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1305611526408
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1305611527446
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1305611576421
