127.0.0.1 - - [27/Apr/2011:00:01:55 +0800] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [27/Apr/2011:00:02:45 +0800] "GET /InternetOS/loginfortoken?username=user&password=a HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [27/Apr/2011:00:02:53 +0800] "GET /InternetOS/identifyservice/login?callback=http://localhost:8080/DemoApp/Init HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [27/Apr/2011:00:02:53 +0800] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [27/Apr/2011:00:02:55 +0800] "POST /InternetOS/identifyservice/login HTTP/1.1" 302 -
127.0.0.1 - - [27/Apr/2011:00:02:55 +0800] "GET /InternetOS/identifyservice/token?authtoken=tokenuser HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [27/Apr/2011:00:02:55 +0800] "GET /DemoApp/Init?authtoken=tokenuser HTTP/1.1" 302 -
127.0.0.1 - - [27/Apr/2011:00:02:55 +0800] "POST /InternetOS/signal/send?callback=http://localhost:8080/DemoApp/callback&token=accesstoken:user HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Apr/2011:00:02:56 +0800] "GET /DemoApp/signaltest HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2011:00:02:55 +0800] "POST /DemoApp/callback HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2011:00:02:56 +0800] "POST /DemoApp/listener HTTP/1.1" 200 6
127.0.0.1 - - [27/Apr/2011:00:02:56 +0800] "POST /DemoApp/callback HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Apr/2011:00:03:39 +0800] "GET /InternetOS/loginfortoken?username=user&password=a HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [27/Apr/2011:00:03:49 +0800] "GET /InternetOS/identifyservice/login?callback=http://localhost:8080/DemoApp/Init HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [27/Apr/2011:00:03:49 +0800] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [27/Apr/2011:00:03:53 +0800] "POST /InternetOS/identifyservice/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2011:00:03:53 +0800] "GET /DemoApp/Init?authtoken=tokenuser HTTP/1.1" 302 -
127.0.0.1 - - [27/Apr/2011:00:03:53 +0800] "GET /InternetOS/identifyservice/token?authtoken=tokenuser HTTP/1.1" 200 16
127.0.0.1 - - [27/Apr/2011:00:03:53 +0800] "POST /InternetOS/signal/send?callback=http://localhost:8080/DemoApp/callback&token=accesstoken:user HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Apr/2011:00:03:53 +0800] "GET /DemoApp/signaltest HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2011:00:03:53 +0800] "POST /DemoApp/listener HTTP/1.1" 200 6
127.0.0.1 - - [27/Apr/2011:00:03:53 +0800] "POST /DemoApp/callback HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2011:00:03:53 +0800] "POST /DemoApp/callback HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2011:00:04:04 +0800] "POST /InternetOS/signal/send?callback=http://localhost:8080/DemoApp/callback&token=accesstoken:user HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Apr/2011:00:04:04 +0800] "GET /DemoApp/signaltest HTTP/1.1" 200 714
127.0.0.1 - - [27/Apr/2011:00:04:04 +0800] "POST /DemoApp/listener HTTP/1.1" 200 6
127.0.0.1 - - [27/Apr/2011:00:04:04 +0800] "POST /DemoApp/callback HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2011:00:04:04 +0800] "POST /DemoApp/callback HTTP/1.1" 200 -
